ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI,Direction
54,2600:1901:0:47fc::,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58045,IPv6,TCP,95.55102040816328,9.434396443298969,9364,98,191.1020408163265,2.0,49,19.0653428125,Downlink
61,200.18.102.102,108.158.172.15,58490,443,IP,TCP,179.0,17.145213285714284,2685,15,298.3333333333333,1.6666666666666667,9,30.004094625,Uplink
62,108.158.172.15,200.18.102.102,443,58490,IP,TCP,111.6470588235294,15.0021875625,1898,17,189.8,1.7,10,26.669452555555555,Downlink
68,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:831::2003,50963,443,IPv6,UDP,258.3076923076923,0.17089475,3358,13,279.8333333333333,1.0833333333333333,12,0.1864306363636363,Uplink
70,2800:3f0:4001:831::2003,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,50963,IPv6,UDP,373.3571428571428,0.1560383076923076,5227,14,402.0769230769231,1.0769230769230769,13,0.1690415,Downlink
75,200.18.102.102,162.247.243.29,58495,443,IP,TCP,360.0,9.242786846153846,5040,14,458.1818181818182,1.2727272727272727,11,12.0155513,Uplink
76,162.247.243.29,200.18.102.102,443,58495,IP,TCP,218.9333333333333,8.581594857142857,3284,15,364.8888888888889,1.6666666666666667,9,15.017791,Downlink
77,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:47fc::,51803,443,IPv6,UDP,975.3888888888888,0.0175517058823529,17557,18,2194.625,2.25,8,0.0426255714285714,Uplink
78,2600:1901:0:47fc::,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,51803,IPv6,UDP,306.6428571428572,0.0224461538461538,4293,14,536.625,1.75,8,0.0416857142857142,Downlink
79,54.77.146.221,200.18.102.102,80,55170,IP,TCP,81.6923076923077,70.17587916666666,1062,13,151.71428571428572,1.8571428571428568,7,140.35175833333332,Uplink
